,Dataset,Seed,Model,ROC,PR
0,BindingDB,0,XGB,0.9260806214145458,0.6947953946923902
1,BindingDB,0,XGB_Opt,0.931793797987221,0.7150554819245656
2,BindingDB,0,BT_XGB,0.9307806501777577,0.7142671582510838
3,BindingDB,0,BT_XGB_Opt,0.936326598774415,0.7357616818423101
4,BindingDB,1,XGB,0.9260806214145458,0.6947953946923902
5,BindingDB,1,XGB_Opt,0.9323621655123322,0.7170590463916852
6,BindingDB,1,BT_XGB,0.9307806501777577,0.7142671582510838
7,BindingDB,1,BT_XGB_Opt,0.9367697644438263,0.7360378028770813
8,BindingDB,2,XGB,0.9260806214145458,0.6947953946923902
9,BindingDB,2,XGB_Opt,0.931777513442246,0.7114908498885054
10,BindingDB,2,BT_XGB,0.9307806501777577,0.7142671582510838
11,BindingDB,2,BT_XGB_Opt,0.9364665166920045,0.7335191719859449
12,BindingDB,3,XGB,0.9260806214145458,0.6947953946923902
13,BindingDB,3,XGB_Opt,0.9323925433391482,0.7136923981409334
14,BindingDB,3,BT_XGB,0.9307806501777577,0.7142671582510838
15,BindingDB,3,BT_XGB_Opt,0.9360007464134211,0.7317402391745778
16,BindingDB,4,XGB,0.9260806214145458,0.6947953946923902
17,BindingDB,4,XGB_Opt,0.931290291850877,0.7110286830294285
18,BindingDB,4,BT_XGB,0.9307806501777577,0.7142671582510838
19,BindingDB,4,BT_XGB_Opt,0.9365361296618835,0.7350652854074224
20,BIOSNAP_full_data,0,XGB,0.9142028041552651,0.9229101443053134
21,BIOSNAP_full_data,0,XGB_Opt,0.9392443395964144,0.9493328250623352
22,BIOSNAP_full_data,0,BT_XGB,0.9480540232121889,0.9571523562327572
23,BIOSNAP_full_data,0,BT_XGB_Opt,0.9605526497294735,0.9674850614277598
24,BIOSNAP_full_data,1,XGB,0.9142028041552651,0.9229101443053134
25,BIOSNAP_full_data,1,XGB_Opt,0.938355315675972,0.9492267994214416
26,BIOSNAP_full_data,1,BT_XGB,0.9480540232121889,0.9571523562327572
27,BIOSNAP_full_data,1,BT_XGB_Opt,0.9599267387629257,0.9669501249400229
28,BIOSNAP_full_data,2,XGB,0.9142028041552651,0.9229101443053134
29,BIOSNAP_full_data,2,XGB_Opt,0.9380849216088877,0.9485146021185593
30,BIOSNAP_full_data,2,BT_XGB,0.9480540232121889,0.9571523562327572
31,BIOSNAP_full_data,2,BT_XGB_Opt,0.959387340659457,0.9664073256343831
32,BIOSNAP_full_data,3,XGB,0.9142028041552651,0.9229101443053134
33,BIOSNAP_full_data,3,XGB_Opt,0.9400405624196596,0.9502084344552767
34,BIOSNAP_full_data,3,BT_XGB,0.9480540232121889,0.9571523562327572
35,BIOSNAP_full_data,3,BT_XGB_Opt,0.9597276334131609,0.9669738213768232
36,BIOSNAP_full_data,4,XGB,0.9142028041552651,0.9229101443053134
37,BIOSNAP_full_data,4,XGB_Opt,0.9381908287098264,0.948599465052706
38,BIOSNAP_full_data,4,BT_XGB,0.9480540232121889,0.9571523562327572
39,BIOSNAP_full_data,4,BT_XGB_Opt,0.9599681087242297,0.967021538315811
40,BIOSNAP_missing_data_70,0,XGB,0.877623718707888,0.8918128418491071
41,BIOSNAP_missing_data_70,0,XGB_Opt,0.9011966726187288,0.916125385730312
42,BIOSNAP_missing_data_70,0,BT_XGB,0.9491418473883919,0.9554310023005671
43,BIOSNAP_missing_data_70,0,BT_XGB_Opt,0.9574848070691032,0.9629788995268859
44,BIOSNAP_missing_data_70,1,XGB,0.877623718707888,0.8918128418491071
45,BIOSNAP_missing_data_70,1,XGB_Opt,0.9016964638297293,0.91711051051236
46,BIOSNAP_missing_data_70,1,BT_XGB,0.9491418473883919,0.9554310023005671
47,BIOSNAP_missing_data_70,1,BT_XGB_Opt,0.9575235517634254,0.9630067715496636
48,BIOSNAP_missing_data_70,2,XGB,0.877623718707888,0.8918128418491071
49,BIOSNAP_missing_data_70,2,XGB_Opt,0.9004393729735347,0.9167456617754683
50,BIOSNAP_missing_data_70,2,BT_XGB,0.9491418473883919,0.9554310023005671
51,BIOSNAP_missing_data_70,2,BT_XGB_Opt,0.9571617989510522,0.9625870327341246
52,BIOSNAP_missing_data_70,3,XGB,0.877623718707888,0.8918128418491071
53,BIOSNAP_missing_data_70,3,XGB_Opt,0.9004546987119295,0.9162401369658909
54,BIOSNAP_missing_data_70,3,BT_XGB,0.9491418473883919,0.9554310023005671
55,BIOSNAP_missing_data_70,3,BT_XGB_Opt,0.956858446743019,0.9627943766128506
56,BIOSNAP_missing_data_70,4,XGB,0.877623718707888,0.8918128418491071
57,BIOSNAP_missing_data_70,4,XGB_Opt,0.9011639194407666,0.9161629455248559
58,BIOSNAP_missing_data_70,4,BT_XGB,0.9491418473883919,0.9554310023005671
59,BIOSNAP_missing_data_70,4,BT_XGB_Opt,0.9570909082368845,0.9626416019684771
60,BIOSNAP_missing_data_80,0,XGB,0.862142650361932,0.8791526582251666
61,BIOSNAP_missing_data_80,0,XGB_Opt,0.8790684070419748,0.8987319037961427
62,BIOSNAP_missing_data_80,0,BT_XGB,0.9393427536982607,0.9485433986554441
63,BIOSNAP_missing_data_80,0,BT_XGB_Opt,0.9482127105992735,0.9567074207753301
64,BIOSNAP_missing_data_80,1,XGB,0.862142650361932,0.8791526582251666
65,BIOSNAP_missing_data_80,1,XGB_Opt,0.8784836700113902,0.899203676752265
66,BIOSNAP_missing_data_80,1,BT_XGB,0.9393427536982607,0.9485433986554441
67,BIOSNAP_missing_data_80,1,BT_XGB_Opt,0.9483832831579341,0.956745165272446
68,BIOSNAP_missing_data_80,2,XGB,0.862142650361932,0.8791526582251666
69,BIOSNAP_missing_data_80,2,XGB_Opt,0.8779939480243351,0.8984592158793735
70,BIOSNAP_missing_data_80,2,BT_XGB,0.9393427536982607,0.9485433986554441
71,BIOSNAP_missing_data_80,2,BT_XGB_Opt,0.947855350874954,0.9564150212642504
72,BIOSNAP_missing_data_80,3,XGB,0.862142650361932,0.8791526582251666
73,BIOSNAP_missing_data_80,3,XGB_Opt,0.8780965520146362,0.8979710228631402
74,BIOSNAP_missing_data_80,3,BT_XGB,0.9393427536982607,0.9485433986554441
75,BIOSNAP_missing_data_80,3,BT_XGB_Opt,0.9483145076894467,0.9566725894613111
76,BIOSNAP_missing_data_80,4,XGB,0.862142650361932,0.8791526582251666
77,BIOSNAP_missing_data_80,4,XGB_Opt,0.8794006813648529,0.8981035553855321
78,BIOSNAP_missing_data_80,4,BT_XGB,0.9393427536982607,0.9485433986554441
79,BIOSNAP_missing_data_80,4,BT_XGB_Opt,0.9487133257380539,0.9568779899790716
80,BIOSNAP_missing_data_90,0,XGB,0.8316197045874619,0.8537964731761869
81,BIOSNAP_missing_data_90,0,XGB_Opt,0.8398057602748871,0.868882040665736
82,BIOSNAP_missing_data_90,0,BT_XGB,0.9149895717853307,0.9269065553751823
83,BIOSNAP_missing_data_90,0,BT_XGB_Opt,0.924690333927271,0.935781825675514
84,BIOSNAP_missing_data_90,1,XGB,0.8316197045874619,0.8537964731761869
85,BIOSNAP_missing_data_90,1,XGB_Opt,0.8392883169286112,0.8684205965816414
86,BIOSNAP_missing_data_90,1,BT_XGB,0.9149895717853307,0.9269065553751823
